"","ID_square","Date_prelvt","Habitat","ID_plot","ID_traps","OF","pesticide","dose","trt"
"25",2087,"04/04/2016","C",394,"2087C","n","EPX",107.7414206,"nt"
"26",2087,"04/04/2016","C",394,"2087C","n","DFL",0.711625432,"tt"
"27",2087,"04/04/2016","C",394,"2087C","n","IMD",10.31191806,"tt"
"28",5096,"30/03/2016","C",7411,"5096C","n","EPX",182.4416692,"nt"
"29",5096,"30/03/2016","C",7411,"5096C","n","DFL",8.106523853,"tt"
"30",5096,"30/03/2016","C",7411,"5096C","n","IMD",50.01465436,"tt"
"31",5103,"30/03/2016","C",15899,"5103C","n","EPX",220.5393915,"nt"
"32",5103,"30/03/2016","C",15899,"5103C","n","DFL",23.04703069,"tt"
"33",5103,"30/03/2016","C",15899,"5103C","n","IMD",4.241397635,"tt"
"34",8905,"05/04/2016","C",5459,"8905C","n","EPX",19.23946284,"nt"
"35",8905,"05/04/2016","C",5459,"8905C","n","DFL",175.9406994,"tt"
"36",8905,"05/04/2016","C",5459,"8905C","n","IMD",9.496742454,"tt"
"37",1926,"04/04/2016","C",290,"1926C","n","EPX",138.4592658,"tt"
"38",1926,"04/04/2016","C",290,"1926C","n","DFL",281.9043711,"nt"
"39",1926,"04/04/2016","C",290,"1926C","n","IMD",17.5394929,"nt"
"40",2756,"04/04/2016","C",755,"2756C","n","EPX",282.9726853,"tt"
"41",2756,"04/04/2016","C",755,"2756C","n","DFL",137.268611,"tt"
"42",2756,"04/04/2016","C",755,"2756C","n","IMD",29.94739646,"nt"
"43",2958,"30/03/2016","C",971,"2958C","n","EPX",11.4008793,"tt"
"44",2958,"30/03/2016","C",971,"2958C","n","DFL",151.3122835,"nt"
"45",2958,"30/03/2016","C",971,"2958C","n","IMD",1.881827871,"nt"
"46",4417,"04/04/2016","C",1285,"4417C","n","EPX",43.95424837,"tt"
"47",4417,"04/04/2016","C",1285,"4417C","n","DFL",428.9589977,"nt"
"48",4417,"04/04/2016","C",1285,"4417C","n","IMD",35.6142457,"nt"
"49",4629,"30/03/2016","C",1017,"4629C","n","EPX",34.55520043,"tt"
"50",4629,"30/03/2016","C",1017,"4629C","n","DFL",114.3294713,"nt"
"51",4629,"30/03/2016","C",1017,"4629C","n","IMD",10.3043015,"nt"
"52",4899,"04(V)+7(S)/04/2016","C",1765,"4899C","n","EPX",29.95746943,"tt"
"53",4899,"04(V)+7(S)/04/2016","C",1765,"4899C","n","DFL",638.4586875,"nt"
"54",4899,"04(V)+7(S)/04/2016","C",1765,"4899C","n","IMD",26.38556619,"nt"
"55",5581,"08 (S)+4(V)/04/2016","C",2323,"5581C","n","EPX",2.396166134,"nt"
"56",5581,"08 (S)+4(V)/04/2016","C",2323,"5581C","n","DFL",752.2075874,"nt"
"57",5581,"08 (S)+4(V)/04/2016","C",2323,"5581C","n","IMD",8.985623003,"nt"
"58",6266,"30/03/2016","C",2516,"6266C","n","EPX",13.72666667,"tt"
"59",6266,"30/03/2016","C",2516,"6266C","n","DFL",218.1333333,"nt"
"60",6266,"30/03/2016","C",2516,"6266C","n","IMD",20.17333333,"nt"
"61",6450,"30/03/2016","C",3051,"6450C","n","EPX",0,"tt"
"62",6450,"30/03/2016","C",3051,"6450C","n","DFL",16.55688623,"tt"
"63",6450,"30/03/2016","C",3051,"6450C","n","IMD",6.896207585,"nt"
"64",6696,"04(V)+7(S)/04/2016","C",3222,"6696C","n","EPX",0,"nt"
"65",6696,"04(V)+7(S)/04/2016","C",3222,"6696C","n","DFL",22.80596617,"tt"
"66",6696,"04(V)+7(S)/04/2016","C",3222,"6696C","n","IMD",18.34132374,"nt"
"67",7020,"04(V)+7(S)/04/2016","C",3967,"7020C","n","EPX",74.32612757,"tt"
"68",7020,"04(V)+7(S)/04/2016","C",3967,"7020C","n","DFL",589.1629708,"nt"
"69",7020,"04(V)+7(S)/04/2016","C",3967,"7020C","n","IMD",22.52468642,"nt"
"70",7622,"30/03/2016","C",4122,"7622C","n","EPX",58.05355715,"tt"
"71",7622,"30/03/2016","C",4122,"7622C","n","DFL",12.7131628,"tt"
"72",7622,"30/03/2016","C",4122,"7622C","n","IMD",56.05848654,"nt"
"73",7777,"30/03/2016","C",4201,"7777C","n","EPX",87.80357619,"nt"
"74",7777,"30/03/2016","C",4201,"7777C","n","DFL",17.83426741,"tt"
"75",7777,"30/03/2016","C",4201,"7777C","n","IMD",22.44128636,"tt"
"76",8064,"04(V)+7(S)/04/2016","C",4759,"8064C","n","EPX",45.58353317,"tt"
"77",8064,"04(V)+7(S)/04/2016","C",4759,"8064C","n","DFL",28.54050093,"tt"
"78",8064,"04(V)+7(S)/04/2016","C",4759,"8064C","n","IMD",2.857713829,"tt"
"79",8268,"30/03/2016","C",4670,"8268C","n","EPX",116.8597683,"tt"
"80",8268,"30/03/2016","C",4670,"8268C","n","DFL",75.70914902,"tt"
"81",8268,"30/03/2016","C",4670,"8268C","n","IMD",11.0201092,"nt"
"82",8531,"04(V)+7(S)/04/2016","C",5277,"8531C","n","EPX",31.21084899,"tt"
"83",8531,"04(V)+7(S)/04/2016","C",5277,"8531C","n","DFL",1360.747076,"nt"
"84",8531,"04(V)+7(S)/04/2016","C",5277,"8531C","n","IMD",14.51752632,"nt"
"85",9172,"06/04/2016","C",5867,"9172C","n","EPX",151.0688317,"tt"
"86",9172,"06/04/2016","C",5867,"9172C","n","DFL",66.73320027,"tt"
"87",9172,"06/04/2016","C",5867,"9172C","n","IMD",54.30139721,"nt"
"88",9201,"04(V)+7(S)/04/2016","C",5590,"9201C","n","EPX",0,"tt"
"89",9201,"04(V)+7(S)/04/2016","C",5590,"9201C","n","DFL",819.9943318,"tt"
"90",9201,"04(V)+7(S)/04/2016","C",5590,"9201C","n","IMD",15.10832004,"nt"
"91",9662,"06/04/2016","C",13235,"9662C","n","EPX",10.88666667,"nt"
"92",9662,"06/04/2016","C",13235,"9662C","n","DFL",5.29,"nt"
"93",9662,"06/04/2016","C",13235,"9662C","n","IMD",12.24,"nt"
"94",9743,"05/04/2016","C",5911,"9743C","n","EPX",14.52931791,"nt"
"95",9743,"05/04/2016","C",5911,"9743C","n","DFL",132.6951203,"nt"
"96",9743,"05/04/2016","C",5911,"9743C","n","IMD",29.17497673,"nt"
"97",9842,"06/04/2016","C",6412,"9842C","n","EPX",15.98082301,"tt"
"98",9842,"06/04/2016","C",6412,"9842C","n","DFL",45.58862698,"nt"
"99",9842,"06/04/2016","C",6412,"9842C","n","IMD",16.8264749,"nt"
"100",10397,"05/04/2016","C",7041,"10397C","n","EPX",56.34253701,"tt"
"101",10397,"05/04/2016","C",7041,"10397C","n","DFL",680.8390023,"nt"
"102",10397,"05/04/2016","C",7041,"10397C","n","IMD",14.66920101,"nt"
"103",10417,"05/04/2016","C",6987,"10417C","n","EPX",14.57417033,"nt"
"104",10417,"05/04/2016","C",6987,"10417C","n","DFL",443.4716858,"tt"
"105",10417,"05/04/2016","C",6987,"10417C","n","IMD",13.49127016,"nt"
"106",10834,"06/04/2016","C",7598,"10834C","n","EPX",58.85271008,"nt"
"107",10834,"06/04/2016","C",7598,"10834C","n","DFL",179.2023776,"nt"
"108",10834,"06/04/2016","C",7598,"10834C","n","IMD",75.2097483,"tt"
"109",10868,"01/04/2016","C",7594,"10868C","n","EPX",0,"nt"
"110",10868,"01/04/2016","C",7594,"10868C","n","DFL",0.446131309,"nt"
"111",10868,"01/04/2016","C",7594,"10868C","n","IMD",9.488613664,"nt"
"112",11006,"06/04/2016","C",7522,"11006C","n","EPX",42.23748838,"tt"
"113",11006,"06/04/2016","C",7522,"11006C","n","DFL",1319.401917,"tt"
"114",11006,"06/04/2016","C",7522,"11006C","n","IMD",74.30638524,"nt"
"115",11434,"05/04/2016","C",7419,"11434C","n","EPX",128.2461047,"tt"
"116",11434,"05/04/2016","C",7419,"11434C","n","DFL",727.9719764,"nt"
"117",11434,"05/04/2016","C",7419,"11434C","n","IMD",20.45212412,"nt"
"118",12167,"06/04/2016","C",8752,"12167C","n","EPX",111.994261,"nt"
"119",12167,"06/04/2016","C",8752,"12167C","n","DFL",611.4995339,"nt"
"120",12167,"06/04/2016","C",8752,"12167C","n","IMD",4.151684645,"tt"
"121",12202,"29(V)+30(S)/03/2016","C",8571,"12202C","n","EPX",52.40096038,"tt"
"122",12202,"29(V)+30(S)/03/2016","C",8571,"12202C","n","DFL",1070.794985,"nt"
"123",12202,"29(V)+30(S)/03/2016","C",8571,"12202C","n","IMD",16.70334801,"nt"
"124",12489,"06/04/2016","C",12956,"12489C","n","EPX",6.10712387,"nt"
"125",12489,"06/04/2016","C",12956,"12489C","n","DFL",6.024056353,"tt"
"126",12489,"06/04/2016","C",12956,"12489C","n","IMD",1.129718235,"tt"
"127",12713,"29(V)+30(S)/03/2016","C",9237,"12713C","n","EPX",133.6713155,"tt"
"128",12713,"29(V)+30(S)/03/2016","C",9237,"12713C","n","DFL",371.3088587,"nt"
"129",12713,"29(V)+30(S)/03/2016","C",9237,"12713C","n","IMD",63.20830008,"nt"
"130",12872,"29(V)+30(S)/03/2016","C",9192,"12872C","n","EPX",11.47371923,"nt"
"131",12872,"29(V)+30(S)/03/2016","C",9192,"12872C","n","DFL",387.0924817,"nt"
"132",12872,"29(V)+30(S)/03/2016","C",9192,"12872C","n","IMD",19.63073852,"nt"
"133",13547,"29(V)+30(S)/03/2016","C",9852,"13547C","n","EPX",24.54036771,"tt"
"134",13547,"29(V)+30(S)/03/2016","C",9852,"13547C","n","DFL",243.6651248,"nt"
"135",13547,"29(V)+30(S)/03/2016","C",9852,"13547C","n","IMD",56.79123368,"nt"
"136",13749,"05/04/2016","C",15350,"13749C","n","EPX",26.57747604,"nt"
"137",13749,"05/04/2016","C",15350,"13749C","n","DFL",408.1802449,"tt"
"138",13749,"05/04/2016","C",15350,"13749C","n","IMD",27.8920394,"nt"
"139",13985,"06/04/2016","C",14145,"13985C","n","EPX",6.594724221,"nt"
"140",13985,"06/04/2016","C",14145,"13985C","n","DFL",29.0034639,"tt"
"141",13985,"06/04/2016","C",14145,"13985C","n","IMD",11.00119904,"tt"
"142",14166,"06/04/2016","C",10227,"14166C","n","EPX",12.46171261,"nt"
"143",14166,"06/04/2016","C",10227,"14166C","n","DFL",199.2941803,"nt"
"144",14166,"06/04/2016","C",10227,"14166C","n","IMD",6.408975896,"tt"
"145",14380,"29(V)+30(S)/03/2016","C",10251,"14380C","n","EPX",47.2565842,"nt"
"146",14380,"29(V)+30(S)/03/2016","C",10251,"14380C","n","DFL",120.2114924,"nt"
"147",14380,"29(V)+30(S)/03/2016","C",10251,"14380C","n","IMD",1.832269221,"tt"
"148",14385,"29(V)+30(S)/03/2016","C",10138,"14385C","n","EPX",72.97495337,"tt"
"149",14385,"29(V)+30(S)/03/2016","C",10138,"14385C","n","DFL",110.8446576,"tt"
"150",14385,"29(V)+30(S)/03/2016","C",10138,"14385C","n","IMD",11.81055156,"nt"
"151",14575,"05/04/2016","C",562,"14575C","n","EPX",10.62874251,"nt"
"152",14575,"05/04/2016","C",562,"14575C","n","DFL",205.0898204,"nt"
"153",14575,"05/04/2016","C",562,"14575C","n","IMD",20.5156354,"tt"
"154",15164,"06/04/2016","C",10628,"15164C","n","EPX",117.2541157,"nt"
"155",15164,"06/04/2016","C",10628,"15164C","n","DFL",722.355449,"tt"
"156",15164,"06/04/2016","C",10628,"15164C","n","IMD",15.23780975,"tt"
"157",17153,"29/03/2016","C",11456,"17153C","n","EPX",23.13482547,"nt"
"158",17153,"29/03/2016","C",11456,"17153C","n","DFL",910.0386358,"tt"
"159",17153,"29/03/2016","C",11456,"17153C","n","IMD",119.207967,"tt"
